motion_coherence,reaction_time,correct,prior_std,raw_response_time
0.24,1.94527600000038,0,80,154.08193
0.06,0.966899000000922,1,20,34.6221519999999
0.24,1.88737799999944,1,40,277.125155
0.12,1.37882000001264,0,40,257.202786000009
0.24,0.956210000003921,0,40,512.370802999998
0.06,3.52018700000008,1,20,216.930626000001
0.06,1.35158399998909,0,10,450.618752999988
0.06,2.3629800000017,1,20,231.502211000001
0.06,2.84310900000128,1,80,347.155039000001
0.06,1.90573800000129,1,80,323.734990000001
0.24,2.06681300000128,0,20,199.590281000001
0.12,0.909795000014128,1,20,29.3744650000008
0.06,2.68106899999839,0,80,198.585051999999
0.12,1.34644500000286,1,80,85.8120219999983
0.24,1.15185399999609,1,10,500.605414999998
0.06,1.25521299999673,0,20,413.190688000002
0.06,1.33602299999984,1,20,186.658551
0.12,1.61126800000056,1,20,345.074636000001
0.06,1.26342699999987,1,20,363.178627000001
0.06,1.80792399999336,1,40,593.345656999998
0.06,1.39123300003121,1,80,252.620139000006
0.06,1.84269900000072,1,80,426.354126000006
0.06,1.37841900000058,1,80,339.994022000001
0.06,0.726346000010381,0,10,344.517386000007
0.12,1.26004400000056,0,80,626.618857000001
0.12,1.07047600000806,0,40,136.681860000012
0.24,1.83251100001507,0,40,197.01077600001
0.06,0.902348999999958,1,40,588.269262
0.06,2.52678700000979,1,20,117.502795000008
0.06,1.29357999999957,0,10,341.761527000001
0.12,2.34770700000081,1,10,671.865514000001
0.06,1.14466800000082,1,10,152.321653000001
0.06,1.35716000001412,1,80,365.372150999989
0.06,1.67409300000872,1,10,33.5812000000005
0.06,1.0562440000067,1,40,178.554876000009
0.06,0.815385000008973,0,80,146.346220000007
0.06,0.831867000000784,1,80,593.434318
0.06,1.76121200001216,0,40,552.138826000009
0.12,1.19285900000068,1,20,44.0622160000003
0.06,1.43489699999918,1,40,302.531080000001
0.06,1.57035600000199,0,40,397.525218000001
0.12,0.980687000001126,1,80,6.55383400000028
0.24,2.80161000000044,0,40,264.981161
0.06,1.23401499999454,1,10,427.493396999998
0.06,1.23141300000134,1,10,267.72284599999
0.24,1.89918700000271,0,80,219.506225000005
0.12,2.36507100000017,1,20,439.978645000001
0.12,0.938261000002967,1,10,462.237395000004
0.12,3.34106600000086,1,80,93.2580120000002
0.06,1.77905800001463,0,40,170.363017000011
0.24,1.22367000000668,1,80,435.388199000008
0.06,1.05813800000033,1,20,91.2861319999993
0.12,1.39397099999769,0,40,55.3057390000031
0.12,0.692335000014282,0,40,446.889797000011
0.06,1.03314200000023,0,20,528.190701999993
0.12,1.22688899999775,1,10,24.3091799999966
